"ColNum","Head1","Head2","SubFile","Evo","Reformat","VarName","Linked","Header"
1,"Patient.ID",,,,,,,"Patient.ID"
2,"Survey.Session.ID",,,,,,,"Survey.Session.ID"
3,"Survey.Date",,,,,,,"Survey.Date"
4,"Clinical.Status",,,,,,,"Clinical.Status"
5,"Genetic.Status",,,,,,,"Genetic.Status"
6,"Country",,,,,,,"Country"
7,"Birthdate",,,,,,,"Birthdate"
8,"Gender",,,,,,,"Gender"
9,"Ancestral.Background",,,,,,,"Ancestral.Background"
10,"If.deceased,.date.of.death",,,,,,,"If.deceased,.date.of.death"
11,"Repository.Name",,,,,,,"Repository.Name"
12,"Repository.ID",,,,,,,"Repository.ID"
13,"Lymphocyte.Specimen.ID",,,,,,,"Lymphocyte.Specimen.ID"
14,"Fibroblast.Specimen.ID",,,,,,,"Fibroblast.Specimen.ID"
15,"iPSC.Specimen.ID",,,,,,,"iPSC.Specimen.ID"
16,"Biological.Mother.PID",,,,,,,"Biological.Mother.PID"
17,"Biological.Father.PID",,,,,,,"Biological.Father.PID"
18,"GUID",,,,,,,"GUID"
19,"Test.Date",,,,,,,"Test.Date"
20,"Laboratory",,,,,,,"Laboratory"
21,"Test.Method",,,,,,,"Test.Method"
22,"Category",,,,,,,"Category"
23,"Test.Verification",,,,,,,"Test.Verification"
24,"Consultant.Verification",,,,,,,"Consultant.Verification"
25,"Participant.Origin",,,,,,,"Participant.Origin"
26,"Karyotype.Start",,,,,,,"Karyotype.Start"
27,"Karyotype.End",,,,,,,"Karyotype.End"
28,"Array.Version",,,,,,,"Array.Version"
29,"Genome.Browser.Build",,,,,,,"Genome.Browser.Build"
30,"Position.Start.Min",,,,,,,"Position.Start.Min"
31,"Position.Start.Max",,,,,,,"Position.Start.Max"
32,"Position.End.Min",,,,,,,"Position.End.Min"
33,"Position.End.Max",,,,,,,"Position.End.Max"
34,"Array.Confirmation.Studies",,,,,,,"Array.Confirmation.Studies"
35,"Probe.1",,,,,,,"Probe.1"
36,"Probe.2",,,,,,,"Probe.2"
37,"Probe.3",,,,,,,"Probe.3"
38,"Start.Exon.Intron",,,,,,,"Start.Exon.Intron"
39,"End.Exon.Intron",,,,,,,"End.Exon.Intron"
40,"Start.Position",,,,,,,"Start.Position"
41,"End.Position",,,,,,,"End.Position"
42,"Observed.Change",,,,,,,"Observed.Change"
43,"Amino.Acid",,,,,,,"Amino.Acid"
44,"VOUS",,,,,,,"VOUS"
45,"Frame",,,,,,,"Frame"
46,"Zygosity",,,,,,,"Zygosity"
47,"Parental.Results",,,,,,,"Parental.Results"
48,"Parental.Test.Method",,,,,,,"Parental.Test.Method"
49,"Parental.Origin",,,,,,,"Parental.Origin"
50,"Std.Nomenclature",,,,,,,"Std.Nomenclature"
51,"Comments",,,,,,,"Comments"
52,"Gene",,,,,,,"Gene"
53,"Other.Gain/Loss.1",,,,,,,"Other.Gain/Loss.1"
54,"Other.Arm.Gain/Loss.1",,,,,,,"Other.Arm.Gain/Loss.1"
55,"Other.Pos.Start.1",,,,,,,"Other.Pos.Start.1"
56,"Other.Pos.End.1",,,,,,,"Other.Pos.End.1"
57,"Other.Origin.1",,,,,,,"Other.Origin.1"
58,"Other.Gain/Loss.2",,,,,,,"Other.Gain/Loss.2"
59,"Other.Arm.Gain/Loss.2",,,,,,,"Other.Arm.Gain/Loss.2"
60,"Other.Pos.Start.2",,,,,,,"Other.Pos.Start.2"
61,"Other.Pos.End.2",,,,,,,"Other.Pos.End.2"
62,"Other.Origin.2",,,,,,,"Other.Origin.2"
63,"Other.Gain/Loss.3",,,,,,,"Other.Gain/Loss.3"
64,"Other.Arm.Gain/Loss.3",,,,,,,"Other.Arm.Gain/Loss.3"
65,"Other.Pos.Start.3",,,,,,,"Other.Pos.Start.3"
66,"Other.Pos.End.3",,,,,,,"Other.Pos.End.3"
67,"Other.Origin.3",,,,,,,"Other.Origin.3"
68,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","1_Condition","Diagnosis",,"refactor","Condition","1","Has.the.patient.been.tested.for.any.of.the.following.conditions?_1_Condition"
69,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","1_Age.at.testing","Diagnosis",,,"Age.at.testing","1","Has.the.patient.been.tested.for.any.of.the.following.conditions?_1_Age.at.testing"
70,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","2_Condition","Diagnosis",,"refactor","Condition","2","Has.the.patient.been.tested.for.any.of.the.following.conditions?_2_Condition"
71,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","2_Age.at.testing","Diagnosis",,,"Age.at.testing","2","Has.the.patient.been.tested.for.any.of.the.following.conditions?_2_Age.at.testing"
72,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","3_Condition","Diagnosis",,"refactor","Condition","3","Has.the.patient.been.tested.for.any.of.the.following.conditions?_3_Condition"
73,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","3_Age.at.testing","Diagnosis",,,"Age.at.testing","3","Has.the.patient.been.tested.for.any.of.the.following.conditions?_3_Age.at.testing"
74,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","4_Condition","Diagnosis",,"refactor","Condition","4","Has.the.patient.been.tested.for.any.of.the.following.conditions?_4_Condition"
75,"Has.the.patient.been.tested.for.any.of.the.following.conditions?","4_Age.at.testing","Diagnosis",,,"Age.at.testing","4","Has.the.patient.been.tested.for.any.of.the.following.conditions?_4_Age.at.testing"
76,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","1_Condition","Diagnosis",,"refactor","Condition","1","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_1_Condition"
77,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","1_Age.at.diagnosis","Diagnosis",,,"Age.at.diagnosis","1","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_1_Age.at.diagnosis"
78,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","1_Status","Diagnosis",,,"Status","1","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_1_Status"
79,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","2_Condition","Diagnosis",,"refactor","Condition","2","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_2_Condition"
80,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","2_Age.at.diagnosis","Diagnosis",,,"Age.at.diagnosis","2","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_2_Age.at.diagnosis"
81,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","2_Status","Diagnosis",,,"Status","2","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_2_Status"
82,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","3_Condition","Diagnosis",,"refactor","Condition","3","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_3_Condition"
83,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","3_Age.at.diagnosis","Diagnosis",,,"Age.at.diagnosis","3","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_3_Age.at.diagnosis"
84,"Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?","3_Status","Diagnosis",,,"Status","3","Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_3_Status"
